,Bundesland,AnzahlFall,AnzahlGenesen,AnzahlTodesfall,Female,Unknown,Male,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,A_unknown
2020-01-28,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,Baden-Wuerttemberg,1,1,0,1,0,0,0,0,0,1,0,0,0
2020-02-25,Baden-Wuerttemberg,2,2,0,1,0,1,0,0,2,0,0,0,0
2020-02-26,Baden-Wuerttemberg,4,4,0,1,0,3,0,0,2,2,0,0,0
2020-02-27,Baden-Wuerttemberg,3,3,0,1,0,2,0,0,1,1,1,0,0
2020-02-28,Baden-Wuerttemberg,7,7,0,1,0,6,0,0,2,3,2,0,0
2020-02-29,Baden-Wuerttemberg,2,2,0,1,0,1,0,0,0,2,0,0,0
2020-03-01,Baden-Wuerttemberg,1,1,0,0,0,1,0,0,1,0,0,0,0
2020-03-02,Baden-Wuerttemberg,10,10,0,2,0,8,0,0,2,5,2,1,0
2020-03-03,Baden-Wuerttemberg,24,24,0,8,0,16,0,3,5,12,4,0,0
2020-03-04,Baden-Wuerttemberg,38,37,1,18,0,20,0,0,10,20,5,3,0
2020-03-05,Baden-Wuerttemberg,36,36,0,17,0,19,1,0,12,20,3,0,0
2020-03-06,Baden-Wuerttemberg,51,49,2,21,0,30,0,3,7,31,6,4,0
2020-03-07,Baden-Wuerttemberg,32,31,1,15,0,17,0,2,3,18,9,0,0
2020-03-08,Baden-Wuerttemberg,19,18,1,8,0,11,1,1,3,12,2,0,0
2020-03-09,Baden-Wuerttemberg,52,50,2,29,0,23,1,2,12,30,4,3,0
2020-03-10,Baden-Wuerttemberg,117,117,0,46,0,71,0,5,23,66,21,2,0
2020-03-11,Baden-Wuerttemberg,146,141,5,68,0,78,1,4,33,76,29,3,0
2020-03-12,Baden-Wuerttemberg,189,185,4,91,0,98,0,3,46,113,22,5,0
2020-03-13,Baden-Wuerttemberg,315,311,4,143,0,172,0,7,82,171,48,7,0
2020-03-14,Baden-Wuerttemberg,326,317,9,140,0,186,6,9,97,155,52,7,0
2020-03-15,Baden-Wuerttemberg,183,179,4,82,1,100,0,6,59,92,23,3,0
2020-03-16,Baden-Wuerttemberg,431,418,13,184,0,247,3,11,126,208,73,10,0
2020-03-17,Baden-Wuerttemberg,601,588,13,285,0,316,0,14,157,306,96,28,0
2020-03-18,Baden-Wuerttemberg,802,783,19,363,0,439,1,15,227,394,137,28,0
2020-03-19,Baden-Wuerttemberg,655,636,19,288,0,367,8,8,144,352,117,26,0
2020-03-20,Baden-Wuerttemberg,848,819,29,415,1,432,1,16,227,412,149,43,0
2020-03-21,Baden-Wuerttemberg,565,547,18,274,0,291,5,10,156,244,117,33,0
2020-03-22,Baden-Wuerttemberg,548,528,20,277,0,271,2,12,144,241,122,27,0
2020-03-23,Baden-Wuerttemberg,650,622,28,317,0,333,8,14,172,281,132,43,0
2020-03-24,Baden-Wuerttemberg,1189,1145,44,594,0,595,16,13,307,541,245,67,0
2020-03-25,Baden-Wuerttemberg,1188,1143,45,594,0,594,11,20,264,582,243,68,0
2020-03-26,Baden-Wuerttemberg,1220,1147,73,627,0,593,8,12,288,527,288,97,0
2020-03-27,Baden-Wuerttemberg,1251,1201,50,669,1,581,11,16,288,573,279,84,0
2020-03-28,Baden-Wuerttemberg,1011,953,58,512,1,498,3,18,220,430,249,91,0
2020-03-29,Baden-Wuerttemberg,660,629,31,333,0,327,4,14,149,274,160,59,0
2020-03-30,Baden-Wuerttemberg,931,873,58,486,0,445,3,4,222,396,204,101,1
2020-03-31,Baden-Wuerttemberg,1227,1143,84,653,0,574,3,26,263,505,282,148,0
2020-04-01,Baden-Wuerttemberg,1248,1160,88,690,0,558,9,18,266,514,267,174,0
2020-04-02,Baden-Wuerttemberg,1424,1326,98,801,2,621,5,17,305,588,289,219,1
2020-04-03,Baden-Wuerttemberg,1272,1194,78,714,3,555,4,19,284,527,268,170,0
2020-04-04,Baden-Wuerttemberg,854,811,43,496,0,358,5,9,180,359,178,123,0
2020-04-05,Baden-Wuerttemberg,496,462,34,273,0,223,5,4,102,183,92,110,0
2020-04-06,Baden-Wuerttemberg,567,523,44,326,0,241,2,3,116,239,111,96,0
2020-04-07,Baden-Wuerttemberg,904,852,52,515,0,389,5,15,190,362,193,139,0
2020-04-08,Baden-Wuerttemberg,933,863,70,561,1,371,4,8,192,377,181,171,0
2020-04-09,Baden-Wuerttemberg,1000,934,66,565,3,432,3,14,236,369,180,198,0
2020-04-10,Baden-Wuerttemberg,665,624,41,355,4,306,6,8,164,246,114,127,0
2020-04-11,Baden-Wuerttemberg,750,714,36,397,3,350,11,31,186,253,122,147,0
2020-04-12,Baden-Wuerttemberg,428,383,45,249,1,178,3,4,75,129,77,140,0
2020-04-13,Baden-Wuerttemberg,291,258,33,165,1,125,0,4,66,88,66,67,0
2020-04-14,Baden-Wuerttemberg,369,340,29,206,0,163,4,7,75,147,68,68,0
2020-04-15,Baden-Wuerttemberg,623,578,45,355,1,267,3,9,124,205,128,154,0
2020-04-16,Baden-Wuerttemberg,660,627,33,335,0,325,5,11,177,266,119,82,0
2020-04-17,Baden-Wuerttemberg,554,525,29,272,1,281,9,18,172,196,92,67,0
2020-04-18,Baden-Wuerttemberg,391,370,21,221,0,170,2,7,93,140,97,52,0
2020-04-19,Baden-Wuerttemberg,297,271,26,183,0,114,1,5,63,97,53,78,0
2020-04-20,Baden-Wuerttemberg,274,254,20,147,0,127,3,4,63,112,42,50,0
2020-04-21,Baden-Wuerttemberg,397,376,21,224,0,173,2,5,83,143,74,90,0
2020-04-22,Baden-Wuerttemberg,504,482,22,277,0,227,4,7,128,206,77,82,0
2020-04-23,Baden-Wuerttemberg,423,401,22,257,0,166,3,5,104,155,64,92,0
2020-04-24,Baden-Wuerttemberg,367,351,16,201,0,166,3,9,98,138,67,52,0
2020-04-25,Baden-Wuerttemberg,316,294,22,186,0,130,3,6,77,110,62,58,0
2020-04-26,Baden-Wuerttemberg,132,128,4,67,0,65,4,2,36,39,27,24,0
2020-04-27,Baden-Wuerttemberg,169,165,4,86,0,83,4,5,50,56,33,21,0
2020-04-28,Baden-Wuerttemberg,184,174,10,87,0,97,3,8,35,72,41,25,0
2020-04-29,Baden-Wuerttemberg,279,265,14,155,0,124,7,9,74,88,64,37,0
2020-04-30,Baden-Wuerttemberg,256,246,10,146,0,110,2,9,57,74,60,54,0
2020-05-01,Baden-Wuerttemberg,152,144,8,76,0,76,4,3,47,51,26,21,0
2020-05-02,Baden-Wuerttemberg,111,101,10,62,0,49,2,6,33,38,16,16,0
2020-05-03,Baden-Wuerttemberg,49,46,3,20,0,29,0,1,15,19,11,3,0
2020-05-04,Baden-Wuerttemberg,77,74,3,43,0,34,7,4,31,12,11,12,0
2020-05-05,Baden-Wuerttemberg,126,120,6,79,0,47,2,3,47,35,23,16,0
2020-05-06,Baden-Wuerttemberg,125,118,7,74,0,51,3,2,21,51,25,23,0
2020-05-07,Baden-Wuerttemberg,177,171,6,90,0,87,7,6,49,63,35,17,0
2020-05-08,Baden-Wuerttemberg,206,194,12,118,0,88,1,4,53,77,28,43,0
2020-05-09,Baden-Wuerttemberg,128,123,5,70,0,58,3,4,32,44,28,17,0
2020-05-10,Baden-Wuerttemberg,53,52,1,28,0,25,1,3,14,15,14,6,0
2020-05-11,Baden-Wuerttemberg,96,94,2,54,0,42,0,2,30,41,13,10,0
2020-05-12,Baden-Wuerttemberg,99,93,6,58,0,41,2,2,27,36,20,12,0
2020-05-13,Baden-Wuerttemberg,123,119,4,64,0,59,2,3,28,41,20,29,0
2020-05-14,Baden-Wuerttemberg,102,96,6,50,0,52,0,5,26,34,14,23,0
2020-05-15,Baden-Wuerttemberg,104,100,4,61,0,43,0,1,33,35,15,20,0
2020-05-16,Baden-Wuerttemberg,54,52,2,32,0,22,0,1,12,18,16,7,0
2020-05-17,Baden-Wuerttemberg,31,31,0,25,0,6,0,1,9,13,3,5,0
2020-05-18,Baden-Wuerttemberg,41,32,9,23,0,18,1,0,7,10,8,15,0
2020-05-19,Baden-Wuerttemberg,103,94,9,66,0,37,1,2,25,30,13,32,0
2020-05-20,Baden-Wuerttemberg,88,84,4,47,0,41,3,0,23,36,16,9,1
2020-05-21,Baden-Wuerttemberg,42,40,2,27,0,15,1,2,10,15,6,8,0
2020-05-22,Baden-Wuerttemberg,63,62,1,30,0,33,2,3,16,18,12,12,0
2020-05-23,Baden-Wuerttemberg,49,46,3,28,0,21,0,3,10,14,10,12,0
2020-05-24,Baden-Wuerttemberg,17,17,0,7,0,10,1,0,6,1,3,6,0
2020-05-25,Baden-Wuerttemberg,33,32,1,15,0,18,0,1,6,15,8,3,0
2020-05-26,Baden-Wuerttemberg,57,54,3,23,0,34,2,2,13,21,15,4,0
2020-05-27,Baden-Wuerttemberg,80,79,1,46,0,34,2,3,18,30,16,11,0
2020-05-28,Baden-Wuerttemberg,61,59,2,32,0,29,0,0,20,19,9,13,0
2020-05-29,Baden-Wuerttemberg,38,37,1,22,0,16,1,1,12,13,3,8,0
2020-05-30,Baden-Wuerttemberg,24,24,0,14,0,10,1,2,8,9,2,2,0
2020-05-31,Baden-Wuerttemberg,11,11,0,5,0,6,1,0,5,3,2,0,0
2020-06-01,Baden-Wuerttemberg,7,7,0,6,0,1,0,1,4,0,1,1,0
2020-06-02,Baden-Wuerttemberg,15,14,1,6,0,9,0,0,5,6,2,2,0
2020-06-03,Baden-Wuerttemberg,31,28,3,16,0,15,0,1,10,10,3,7,0
2020-06-04,Baden-Wuerttemberg,47,44,3,23,0,24,3,3,15,15,8,3,0
2020-06-05,Baden-Wuerttemberg,35,35,0,19,0,16,0,0,11,11,6,7,0
2020-06-06,Baden-Wuerttemberg,31,31,0,12,0,19,4,2,12,11,1,1,0
2020-06-07,Baden-Wuerttemberg,12,11,1,7,0,5,2,0,3,4,2,1,0
2020-06-08,Baden-Wuerttemberg,10,10,0,6,0,4,1,1,3,1,3,1,0
2020-06-09,Baden-Wuerttemberg,30,30,0,18,0,12,0,1,11,9,6,3,0
2020-06-10,Baden-Wuerttemberg,51,50,1,29,0,22,1,3,20,18,5,4,0
2020-06-11,Baden-Wuerttemberg,13,12,1,4,0,9,0,0,2,5,5,1,0
2020-06-12,Baden-Wuerttemberg,31,31,0,14,1,16,0,2,10,11,3,5,0
2020-06-13,Baden-Wuerttemberg,10,10,0,4,1,5,0,1,3,6,0,0,0
2020-06-14,Baden-Wuerttemberg,20,20,0,5,0,15,0,0,11,9,0,0,0
2020-06-15,Baden-Wuerttemberg,17,17,0,9,0,8,0,2,2,8,3,2,0
2020-06-16,Baden-Wuerttemberg,38,37,1,15,0,23,0,4,14,14,4,2,0
2020-06-17,Baden-Wuerttemberg,24,24,0,17,0,7,1,1,4,14,2,2,0
2020-06-18,Baden-Wuerttemberg,25,25,0,15,0,10,0,5,7,9,4,0,0
2020-06-19,Baden-Wuerttemberg,35,35,0,17,0,18,2,4,11,13,4,1,0
2020-06-20,Baden-Wuerttemberg,36,36,0,18,0,18,0,6,9,15,4,2,0
2020-06-21,Baden-Wuerttemberg,11,10,1,4,0,7,1,1,1,1,2,5,0
2020-06-22,Baden-Wuerttemberg,24,24,0,12,0,12,1,6,5,7,2,3,0
2020-06-23,Baden-Wuerttemberg,35,35,0,19,0,16,2,1,9,17,5,1,0
2020-06-24,Baden-Wuerttemberg,42,42,0,16,0,26,1,1,11,20,4,5,0
2020-06-25,Baden-Wuerttemberg,43,42,1,17,0,26,2,2,9,17,7,6,0
2020-06-26,Baden-Wuerttemberg,71,70,1,38,0,33,1,12,25,22,7,4,0
2020-06-27,Baden-Wuerttemberg,35,35,0,14,0,21,0,5,14,12,2,2,0
2020-06-28,Baden-Wuerttemberg,11,11,0,5,0,6,0,0,5,4,0,2,0
2020-06-29,Baden-Wuerttemberg,14,14,0,6,0,8,0,1,3,9,1,0,0
2020-06-30,Baden-Wuerttemberg,48,48,0,22,0,26,2,3,20,17,4,2,0
2020-07-01,Baden-Wuerttemberg,47,46,1,21,0,26,4,7,13,19,3,1,0
2020-07-02,Baden-Wuerttemberg,32,32,0,16,0,16,2,2,12,11,4,1,0
2020-07-03,Baden-Wuerttemberg,40,40,0,16,0,24,4,1,11,15,6,3,0
2020-07-04,Baden-Wuerttemberg,22,21,1,10,0,12,0,0,6,11,3,2,0
2020-07-05,Baden-Wuerttemberg,4,4,0,3,0,1,0,2,0,0,2,0,0
2020-07-06,Baden-Wuerttemberg,37,37,0,14,0,23,4,5,8,15,3,1,1
2020-07-07,Baden-Wuerttemberg,35,34,1,12,0,23,1,2,13,12,7,0,0
2020-07-08,Baden-Wuerttemberg,45,45,0,19,0,26,1,3,14,16,10,1,0
2020-07-09,Baden-Wuerttemberg,53,53,0,28,1,24,4,2,22,19,5,1,0
2020-07-10,Baden-Wuerttemberg,38,38,0,11,0,27,1,2,15,18,2,0,0
2020-07-11,Baden-Wuerttemberg,24,24,0,9,0,15,1,1,7,11,2,2,0
2020-07-12,Baden-Wuerttemberg,16,16,0,6,0,10,0,4,5,6,1,0,0
2020-07-13,Baden-Wuerttemberg,45,45,0,21,1,23,6,3,15,18,2,0,1
2020-07-14,Baden-Wuerttemberg,62,62,0,27,0,35,0,9,21,26,6,0,0
2020-07-15,Baden-Wuerttemberg,46,43,3,24,0,22,1,6,16,16,5,2,0
2020-07-16,Baden-Wuerttemberg,58,58,0,30,0,28,6,9,23,17,3,0,0
