,Bundesland,AnzahlFall,AnzahlGenesen,AnzahlTodesfall,Female,Unknown,Male,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,A_unknown
2020-01-28,Bayern,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-01-29,Bayern,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-01-30,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,Bayern,3.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-02-01,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,Bayern,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-04,Bayern,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-05,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,Bayern,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-07,Bayern,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-08,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,Bayern,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-12,Bayern,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-13,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,Bayern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,Bayern,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-28,Bayern,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-02-29,Bayern,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-01,Bayern,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
2020-03-02,Bayern,6.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0
2020-03-03,Bayern,6.0,6.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0
2020-03-04,Bayern,10.0,10.0,0.0,4.0,0.0,6.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0
2020-03-05,Bayern,19.0,18.0,1.0,6.0,0.0,13.0,0.0,1.0,4.0,12.0,1.0,1.0,0.0
2020-03-06,Bayern,51.0,51.0,0.0,19.0,0.0,32.0,1.0,3.0,12.0,31.0,3.0,1.0,0.0
2020-03-07,Bayern,20.0,20.0,0.0,14.0,0.0,6.0,0.0,1.0,5.0,12.0,1.0,1.0,0.0
2020-03-08,Bayern,20.0,20.0,0.0,11.0,0.0,9.0,0.0,2.0,3.0,15.0,0.0,0.0,0.0
2020-03-09,Bayern,87.0,87.0,0.0,38.0,0.0,49.0,1.0,8.0,26.0,43.0,9.0,0.0,0.0
2020-03-10,Bayern,111.0,108.0,3.0,54.0,0.0,57.0,1.0,13.0,28.0,52.0,13.0,4.0,0.0
2020-03-11,Bayern,120.0,119.0,1.0,53.0,0.0,67.0,1.0,13.0,24.0,57.0,24.0,1.0,0.0
2020-03-12,Bayern,137.0,134.0,3.0,61.0,0.0,76.0,0.0,3.0,32.0,84.0,14.0,4.0,0.0
2020-03-13,Bayern,251.0,248.0,3.0,125.0,0.0,126.0,0.0,18.0,65.0,131.0,29.0,8.0,0.0
2020-03-14,Bayern,230.0,225.0,5.0,119.0,0.0,111.0,1.0,12.0,68.0,112.0,30.0,7.0,0.0
2020-03-15,Bayern,169.0,166.0,3.0,81.0,0.0,88.0,0.0,4.0,47.0,80.0,24.0,14.0,0.0
2020-03-16,Bayern,270.0,262.0,8.0,142.0,0.0,128.0,3.0,5.0,79.0,130.0,44.0,9.0,0.0
2020-03-17,Bayern,473.0,463.0,10.0,219.0,0.0,254.0,5.0,21.0,132.0,238.0,65.0,12.0,0.0
2020-03-18,Bayern,752.0,740.0,12.0,324.0,0.0,428.0,13.0,18.0,197.0,393.0,110.0,21.0,0.0
2020-03-19,Bayern,823.0,812.0,11.0,373.0,0.0,450.0,6.0,16.0,241.0,406.0,123.0,31.0,0.0
2020-03-20,Bayern,864.0,838.0,26.0,406.0,0.0,458.0,7.0,20.0,233.0,416.0,138.0,50.0,0.0
