,Bundesland,AnzahlFall,AnzahlGenesen,AnzahlTodesfall,Female,Unknown,Male,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,A_unknown
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,Nordrhein-Westfalen,3,3,0,1,0,2,0,0,1,2,0,0,0
2020-02-27,Nordrhein-Westfalen,19,19,0,11,0,8,0,1,9,9,0,0,0
2020-02-28,Nordrhein-Westfalen,35,35,0,21,0,14,3,1,17,10,4,0,0
2020-02-29,Nordrhein-Westfalen,15,15,0,5,0,10,0,1,7,6,1,0,0
2020-03-01,Nordrhein-Westfalen,23,23,0,15,0,8,0,0,14,7,2,0,0
2020-03-02,Nordrhein-Westfalen,15,15,0,7,0,8,0,0,7,6,2,0,0
2020-03-03,Nordrhein-Westfalen,29,29,0,12,0,17,0,1,10,14,4,0,0
2020-03-04,Nordrhein-Westfalen,90,89,1,46,0,44,0,3,37,43,6,1,0
2020-03-05,Nordrhein-Westfalen,97,97,0,48,0,49,2,2,40,41,11,1,0
2020-03-06,Nordrhein-Westfalen,62,61,1,31,0,31,0,0,15,31,15,1,0
2020-03-07,Nordrhein-Westfalen,67,64,3,36,0,31,0,2,26,28,10,1,0
2020-03-08,Nordrhein-Westfalen,26,26,0,13,0,13,1,1,6,15,1,2,0
2020-03-09,Nordrhein-Westfalen,97,92,5,41,0,56,0,2,19,60,13,3,0
2020-03-10,Nordrhein-Westfalen,175,175,0,67,0,108,0,1,48,84,35,7,0
2020-03-11,Nordrhein-Westfalen,202,200,2,89,0,113,1,3,51,103,40,4,0
2020-03-12,Nordrhein-Westfalen,284,281,3,113,1,170,3,1,57,171,47,5,0
2020-03-13,Nordrhein-Westfalen,420,413,7,171,0,249,0,5,88,249,71,7,0
2020-03-14,Nordrhein-Westfalen,323,320,3,135,0,188,2,5,70,204,36,6,0
2020-03-15,Nordrhein-Westfalen,241,235,6,107,0,134,1,0,53,142,37,8,0
2020-03-16,Nordrhein-Westfalen,611,600,11,256,0,355,1,8,110,385,87,20,0
2020-03-17,Nordrhein-Westfalen,908,894,14,387,0,521,6,8,231,507,127,29,0
2020-03-18,Nordrhein-Westfalen,716,697,19,292,0,424,3,10,181,380,118,24,0
2020-03-19,Nordrhein-Westfalen,1141,1120,21,517,0,624,5,6,295,597,199,39,0
2020-03-20,Nordrhein-Westfalen,875,855,20,389,0,486,6,12,199,468,159,31,0
2020-03-21,Nordrhein-Westfalen,691,675,16,316,1,374,4,8,186,339,127,27,0
2020-03-22,Nordrhein-Westfalen,435,415,20,199,0,236,1,6,107,212,77,32,0
2020-03-23,Nordrhein-Westfalen,879,853,26,394,0,485,3,13,190,477,166,30,0
2020-03-24,Nordrhein-Westfalen,798,774,24,410,0,388,4,9,193,363,168,61,0
2020-03-25,Nordrhein-Westfalen,1039,1003,36,534,0,505,3,13,244,478,223,78,0
2020-03-26,Nordrhein-Westfalen,1045,1007,38,514,0,531,4,17,254,478,217,75,0
2020-03-27,Nordrhein-Westfalen,1101,1056,45,569,0,532,10,13,272,510,214,82,0
2020-03-28,Nordrhein-Westfalen,751,713,38,381,0,370,7,10,196,312,160,66,0
2020-03-29,Nordrhein-Westfalen,633,592,41,339,0,294,2,9,143,291,126,62,0
2020-03-30,Nordrhein-Westfalen,770,727,43,384,0,386,4,21,165,339,175,66,0
2020-03-31,Nordrhein-Westfalen,1058,999,59,570,0,488,6,17,243,460,223,109,0
2020-04-01,Nordrhein-Westfalen,1156,1073,83,658,0,498,8,17,263,461,238,169,0
2020-04-02,Nordrhein-Westfalen,1207,1142,65,652,0,555,6,26,291,466,256,162,0
2020-04-03,Nordrhein-Westfalen,1054,983,71,593,1,460,8,25,240,386,217,178,0
2020-04-04,Nordrhein-Westfalen,684,644,40,388,1,295,0,15,158,268,137,106,0
2020-04-05,Nordrhein-Westfalen,507,460,47,285,0,222,2,10,88,207,106,94,0
2020-04-06,Nordrhein-Westfalen,877,804,73,500,0,377,6,13,208,341,160,149,0
2020-04-07,Nordrhein-Westfalen,913,858,55,528,0,385,9,12,209,393,153,137,0
2020-04-08,Nordrhein-Westfalen,1043,967,76,631,0,412,8,17,230,405,211,172,0
2020-04-09,Nordrhein-Westfalen,1013,957,56,568,0,445,9,13,256,410,186,139,0
2020-04-10,Nordrhein-Westfalen,615,577,38,350,0,265,4,11,156,257,84,103,0
2020-04-11,Nordrhein-Westfalen,585,549,36,340,0,245,7,15,127,228,93,115,0
2020-04-12,Nordrhein-Westfalen,384,353,31,221,0,163,2,9,82,146,74,71,0
2020-04-13,Nordrhein-Westfalen,293,270,23,151,1,141,3,4,70,98,50,68,0
2020-04-14,Nordrhein-Westfalen,519,468,51,277,1,241,6,13,134,187,96,83,0
2020-04-15,Nordrhein-Westfalen,664,625,39,369,1,294,4,10,169,250,120,111,0
2020-04-16,Nordrhein-Westfalen,738,703,35,413,0,325,11,14,228,279,123,83,0
2020-04-17,Nordrhein-Westfalen,635,601,34,355,0,280,7,7,169,236,118,98,0
2020-04-18,Nordrhein-Westfalen,466,442,24,264,0,202,6,7,117,166,84,86,0
2020-04-19,Nordrhein-Westfalen,339,313,26,168,0,171,6,6,92,124,65,45,1
2020-04-20,Nordrhein-Westfalen,556,520,36,285,0,271,5,13,129,201,120,88,0
2020-04-21,Nordrhein-Westfalen,455,430,25,233,0,222,8,27,134,161,76,48,1
2020-04-22,Nordrhein-Westfalen,476,458,18,270,0,206,14,14,141,167,70,70,0
2020-04-23,Nordrhein-Westfalen,388,374,14,194,0,194,7,25,106,149,50,51,0
2020-04-24,Nordrhein-Westfalen,330,323,7,180,0,150,6,7,104,115,61,37,0
2020-04-25,Nordrhein-Westfalen,222,211,11,115,1,106,4,10,58,79,38,33,0
2020-04-26,Nordrhein-Westfalen,152,149,3,81,0,71,2,6,39,66,20,19,0
2020-04-27,Nordrhein-Westfalen,226,214,12,101,0,125,2,9,70,74,42,29,0
2020-04-28,Nordrhein-Westfalen,264,250,14,138,0,126,4,7,95,95,31,32,0
2020-04-29,Nordrhein-Westfalen,249,243,6,141,0,108,1,12,78,94,37,27,0
2020-04-30,Nordrhein-Westfalen,385,373,12,214,1,170,6,18,119,140,46,56,0
2020-05-01,Nordrhein-Westfalen,231,219,12,126,0,105,2,7,64,84,41,33,0
2020-05-02,Nordrhein-Westfalen,148,144,4,75,0,73,5,11,36,55,20,21,0
2020-05-03,Nordrhein-Westfalen,121,116,5,55,0,66,6,4,30,51,17,13,0
2020-05-04,Nordrhein-Westfalen,172,166,6,77,2,93,6,5,56,64,23,17,1
2020-05-05,Nordrhein-Westfalen,238,229,9,108,0,130,7,13,56,110,34,18,0
2020-05-06,Nordrhein-Westfalen,316,309,7,161,0,155,8,13,89,116,53,37,0
2020-05-07,Nordrhein-Westfalen,319,310,9,146,0,173,3,10,99,132,43,32,0
2020-05-08,Nordrhein-Westfalen,214,211,3,94,1,119,3,15,68,84,30,14,0
2020-05-09,Nordrhein-Westfalen,191,184,7,87,0,104,5,7,53,89,25,12,0
2020-05-10,Nordrhein-Westfalen,104,102,2,47,0,57,1,1,36,48,15,3,0
2020-05-11,Nordrhein-Westfalen,200,198,2,84,0,116,6,12,63,84,18,17,0
2020-05-12,Nordrhein-Westfalen,226,221,5,118,0,108,3,13,73,85,24,28,0
2020-05-13,Nordrhein-Westfalen,210,204,6,109,0,101,7,10,63,81,26,23,0
2020-05-14,Nordrhein-Westfalen,192,188,4,101,1,90,4,11,42,80,31,24,0
2020-05-15,Nordrhein-Westfalen,217,212,5,91,1,125,3,13,69,84,34,14,0
2020-05-16,Nordrhein-Westfalen,141,138,3,64,0,77,3,11,55,44,13,15,0
2020-05-17,Nordrhein-Westfalen,90,89,1,27,0,63,5,8,40,31,5,1,0
2020-05-18,Nordrhein-Westfalen,184,181,3,63,5,116,8,14,81,61,17,3,0
2020-05-19,Nordrhein-Westfalen,193,192,1,97,0,96,11,7,70,63,23,19,0
